alive, arrive
belly, berry
blight, bright
blue, brew
blush, brush
flee, free
fly, fry
lane, rain
led, red
lead, read
lice, rice
light, right
load, road
long, wrong
loom, room
lot, rot
play, pray
blew, brew
clash, crash
collect, correct
glamour, grammar
glass, grass
lace, race
lamp, ramp
late, rate
law, raw
led, red
leader, reader
lighter, writer
lock, rock
lush, rush
clown, crown
glow, grow
lack, rack
lake, rake
lamb, ram
lane, rain
lather, rather
lead, read
lip, rip
list, wrist
pilot, pirate
belly, berry
blush, brush
flee, free
lamp, ramp
lap, wrap
late, rate
lay, ray
lentil, rental
lid, rid
lot, rot
loyal, royal
play, pray
blew, brew
clash, crash
flea, free
glow, grow
lace, race
lack, rack
lag, rag
lake, rake
lamb, ram
lather, rather
law, raw
